doi,dataset_url,dataset_domain,dataset_type,dataset_source_category
10.1016/j.trf.2023.01.012,https://osf.io/kdr6q,osf.io,open_repo,open_repo_doi
10.1016/j.trb.2023.102783,https://github.com/ioaar/Interpretable-Embeddings-MNL,github.com,code_host,code_host
10.1016/j.trb.2023.102853,https://github.com/pabloguarda/isuellogit,github.com,code_host,code_host
10.1016/j.trf.2024.08.002,https://osf.io/p6emd,osf.io,open_repo,open_repo_doi
10.1016/j.trc.2021.103134,https://github.com/CATS-Lab-USF,github.com,code_host,code_host
10.1016/j.tra.2022.01.014,https://doi.org/10.17863/CAM.81748,doi.org,open_repo,open_repo_doi
10.1016/j.trb.2023.102804,https://github.com/sakithakumarage/hybrid_DODE,github.com,code_host,code_host
10.1016/j.trip.2024.101079,https://osf.io/sw8k2,osf.io,open_repo,open_repo_doi
10.1016/j.trc.2021.103437,https://www.github.com/datafold-dev/paper_modeling_melburnians,github.com,code_host,code_host
10.1016/j.trf.2023.09.017,https://doi.org/10.7282/00000346,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2023.09.017,https://doi.org/10.7282/00000347,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2023.09.017,https://doi.org/10.7282/00000321,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2023.09.017,https://doi.org/10.32866/001c.75441,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2023.09.017,https://doi.org/10.7282/00000164,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2024.09.014,https://osf.io/5d23m,osf.io,open_repo,open_repo_doi
10.1016/j.trip.2024.101192,https://doi.org/10.1016/j.trip.2024.101192,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2024.104792,https://enac.hal.science/hal-04532626,enac.hal.science,other,other_web
10.1016/j.trc.2023.104284,https://github.com/Jimmy-Ke404/ORHP,github.com,code_host,code_host
10.1016/j.trc.2024.104511,https://github.com/ethz-coss/voting_traffic,github.com,code_host,code_host
10.1016/j.trc.2024.104842,https://github.com/ZJU2021/STAN,github.com,code_host,code_host
10.1016/j.trc.2019.07.010,https://github.com/BUILTNYU,github.com,code_host,code_host
10.1016/j.trf.2021.04.015,https://osf.io/zsep5,osf.io,open_repo,open_repo_doi
10.1016/j.trip.2022.100645,https://zenodo.org/record/5255950,zenodo.org,open_repo,open_repo_doi
10.1016/j.trip.2024.101208,https://datadryad.org/stash/dataset/doi:10.5061/dryad.rv15dv4f0,datadryad.org,other,ngo_nonprofit_org
10.1016/j.trc.2019.07.006,https://github.com/stasmix/popsynth,github.com,code_host,code_host
10.1016/j.tra.2024.104016,https://doi.org/10.7910/DVN/KA5HJ3,doi.org,open_repo,open_repo_doi
10.1016/j.tra.2024.104016,https://doi.org/10.7910/DVN/ZTFPTB,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2024.08.009,https://github.com/NUS-DBE/Pretrain-Finetune-safety-climate,github.com,code_host,code_host
10.1016/j.trc.2020.102674,https://github.com/zhiyongc/Seattle-Loop-Data,github.com,code_host,code_host
10.1016/j.trc.2020.102674,https://doi.org/10.5281/zenodo.3258904,doi.org,open_repo,open_repo_doi
10.1016/j.trip.2021.100336,https://data.4tu.nl/articles/software/A_model_for_modifying_the_public_transport_service_patterns_to_account_for_the_imposed_COVID-19_capacity/13383146,data.4tu.nl,other,other_web
10.1016/j.trc.2019.08.012,https://doi.org/10.5281/zenodo.3365464,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2024.104593,https://github.com/DimVlachogiannis/HumanLight.git,github.com,code_host,code_host
10.1016/j.trb.2020.07.002,https://github.com/AICPS/LQM_traffic_sec_official,github.com,code_host,code_host
10.1016/j.trc.2023.104178,https://github.com/mcgill-smart-transport/circDMDsp,github.com,code_host,code_host
10.1016/j.trd.2022.103195,https://zenodo.org/record/5102564,zenodo.org,open_repo,open_repo_doi
10.1016/j.trc.2019.12.014,https://www.albertschrotenboer.com,albertschrotenboer.com,other,other_web
10.1016/j.trc.2022.103661,https://doi.org/10.5281/zenodo.6011886,doi.org,open_repo,open_repo_doi
10.1016/j.tre.2023.103354,https://github.com/DanieleGioia/PerishableMEC,github.com,code_host,code_host
10.1016/j.tre.2024.103707,https://zenodo.org/badge/latestdoi/636483323,zenodo.org,open_repo,open_repo_doi
10.1016/j.tra.2024.104128,https://github.com/AliMaurenne/Microeconomic-model-of-ridesourcing-.git,github.com,code_host,code_host
10.1016/j.trc.2023.104181,https://github.com/vita-epfl/butterflydetector,github.com,code_host,code_host
10.1016/j.trc.2024.104751,https://doi.org/10.4121/3ad2db22-ea82-4436-8df5-ebbbdb4aeec6,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2023.04.001,https://doi.org/10.48328/tudatalib-1030,doi.org,open_repo,open_repo_doi
10.1016/j.trd.2023.103626,https://osf.io/xbhqf,osf.io,open_repo,open_repo_doi
10.1016/j.trip.2020.100190,https://www.comses.net/codebases/a89fd647-1126-4930-a3f6-a5c5145076b3/releases/1.0.0,comses.net,other,other_web
10.1016/j.trc.2021.103410,https://github.com/zhengyunhan/Equality-of-Opportunity-Travel-Behavior.git,github.com,code_host,code_host
10.1016/j.trc.2020.102662,https://github.com/MeixinZhu/Velocity_control,github.com,code_host,code_host
10.1016/j.tra.2024.104237,https://doi.org/10.4121/f1272944-9b3d-480f-a37a-b41d972aec7d,doi.org,open_repo,open_repo_doi
10.1016/j.tra.2023.103637,https://osf.io/2t48x,osf.io,open_repo,open_repo_doi
10.1016/j.trb.2022.05.005,https://github.com/LingxiaoWu2021/RFDRM,github.com,code_host,code_host
10.1016/j.trf.2019.09.015,https://github.com/paulvangentcom/heartrate_analysis_python,github.com,code_host,code_host
10.1016/j.trf.2019.09.015,https://github.com/paulvangentcom/heartrate_analysis_Arduino,github.com,code_host,code_host
10.1016/j.trf.2021.04.019,https://doi.org/10.4121/14483220,doi.org,open_repo,open_repo_doi
10.1016/j.tre.2022.102782,https://doi.org/10.48328/tudatalib-800,doi.org,open_repo,open_repo_doi
10.1016/j.trd.2023.103647,https://gitlab.com/eputs/data/fcd-stellenbosch,gitlab.com,code_host,code_host
10.1016/j.tra.2023.103733,https://doi.org/10.7910/DVN/UOAKTM,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2019.01.010,https://osf.io/qbgpd,osf.io,open_repo,open_repo_doi
10.1016/j.trb.2023.102854,https://data.mendeley.com/datasets/k3f9h7y78v/1,data.mendeley.com,open_repo,open_repo_doi
10.1016/j.trd.2021.102717,https://doi.org/10.17863/CAM.63690by,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2023.104271,https://github.com/epan-utbm/Moving-Object-Detection-Dataset,github.com,code_host,code_host
10.1016/j.trc.2023.104271,https://github.com/epan-utbm/Semantic-Aware-Object-Identification-in-Urban-Driving-Scenarios,github.com,code_host,code_host
10.1016/j.trd.2023.103610,https://doi.org/10.5281/ZENODO.7410114,doi.org,open_repo,open_repo_doi
10.1016/j.trip.2023.100791,https://github.com/csipetas/MixedFleetsinFlexibleTransport.git,github.com,code_host,code_host
10.1016/j.trb.2021.06.011,https://github.com/CATS-Lab-USF,github.com,code_host,code_host
10.1016/j.trc.2024.104788,https://github.com/UoW-ATM/Mercury,github.com,code_host,code_host
10.1016/j.trc.2024.104767,https://github.com/siqi-feng/DNN-behavioral-regularity,github.com,code_host,code_host
10.1016/j.trc.2022.103840,https://github.com/salomonw/contraflow-lane-reversal,github.com,code_host,code_host
10.1016/j.trf.2021.01.001,https://researchdata.4tu.nl/en,researchdata.4tu.nl,other,other_web
10.1016/j.trf.2021.01.001,https://doi.org/10.1016/j.trf.2021.01.001,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2023.104318,https://github.com/JoseAngelMartinB/prediction-behavioural-analysis-ml-travel-mode-choice,github.com,code_host,code_host
10.1016/j.trf.2022.09.019,https://covidfuture.org/data,covidfuture.org,other,ngo_nonprofit_org
10.1016/j.trd.2022.103463,https://pedbikeinfo.org/shiftingstreets,pedbikeinfo.org,other,ngo_nonprofit_org
10.1016/j.trc.2022.103801,https://github.com/HaoZhouGT/openpilot,github.com,code_host,code_host
10.1016/j.trc.2022.103552,https://github.com/gsfeir/GP-LCCM,github.com,code_host,code_host
10.1016/j.trd.2023.104012,https://gitlab.in2p3.fr/annaelle.benard/small-roadkill-persistence.git,gitlab.in2p3.fr,other,other_web
10.1016/j.trf.2019.07.001,https://dx.doi.org/10.17605/OSF.IO/VA5KR,dx.doi.org,open_repo,open_repo_doi
10.1016/j.trip.2023.100986,https://doi.org/10.4121/e4324d0c-2a82-4f03-8cbb-64dd207cd522,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2020.102814,https://github.com/feng-jings/LDTmodel,github.com,code_host,code_host
10.1016/j.trb.2022.02.002,https://github.com/zhangqin635/IntegratedOptimizationMTData.git,github.com,code_host,code_host
10.1016/j.trd.2020.102525,https://github.com/paezha/Neighborhood-Perceptions-and-Active-Travel-in-Bangladesh,github.com,code_host,code_host
10.1016/j.trip.2024.101045,https://data.gesis.org/sharing,data.gesis.org,other,ngo_nonprofit_org
10.1016/j.trc.2024.104834,https://github.com/bugracnr/TRC-INSTANCES,github.com,code_host,code_host
10.1016/j.tre.2023.103174,https://datasets.vicomtech.org/di21-seafront/readme.txt,datasets.vicomtech.org,other,ngo_nonprofit_org
10.1016/j.trf.2023.07.005,https://doi.org/10.4121/6dfe7bd5-16f7-4e8d-9ab7-f8203b902310,doi.org,open_repo,open_repo_doi
10.1016/j.tre.2023.103089,https://github.com/omerfarukktu/MSCresilience,github.com,code_host,code_host
10.1016/j.trip.2023.101007,https://doi.org/10.25338/B8035D,doi.org,open_repo,open_repo_doi
10.1016/j.trip.2020.100099,https://osf.io/t6sze,osf.io,open_repo,open_repo_doi
10.1016/j.trd.2022.103435,https://osf.io/95qj6,osf.io,open_repo,open_repo_doi
10.1016/j.trc.2023.104088,https://github.com/MYL23/MASO-MSF,github.com,code_host,code_host
10.1016/j.trf.2020.04.011,https://osf.io/cp9bg,osf.io,open_repo,open_repo_doi
10.1016/j.trc.2020.01.002,https://github.com/LiTrans/BSMD,github.com,code_host,code_host
10.1016/j.trc.2022.103791,https://github.com/wn11-nyu/IRP-Drone,github.com,code_host,code_host
10.1016/j.trf.2022.10.017,https://osf.io/k9w8q,osf.io,open_repo,open_repo_doi
10.1016/j.trc.2021.103165,https://www.multitude-project.eu,multitude-project.eu,other,other_web
10.1016/j.trc.2021.103165,https://www.connectedandautonomoustransport.com/reproducible-research.html,connectedandautonomoustransport.com,other,other_web
10.1016/j.trf.2023.01.014,https://doi.org/10.4121/21952685,doi.org,open_repo,open_repo_doi
10.1016/j.trd.2023.103754,https://github.com/futuremobilitylabariel/EnvironmentModel,github.com,code_host,code_host
10.1016/j.trb.2024.102944,https://github.com/YangmingZhou/SoftCluCARP,github.com,code_host,code_host
10.1016/j.trd.2024.104196,https://github.com/Aircraft-Operations-Lab/roc,github.com,code_host,code_host
